,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
0,ROLEX,DATEJUST_36,AUTOMATIQUE,ACIER,ACIER,2011,NEUF,HOMME,10437.0,70,36,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,1,GRANDE-BRETAGNE
1,ZENO_WATCH_BASEL,X-LARGE_RETRO,AUTOMATIQUE,ACIER,INCONNUE,2023,NEUF,HOMME,699.0,42,44,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-16,1,ESPAGNE
2,ROLEX,YACHT-MASTER_40,AUTOMATIQUE,OR_ACIER,OR_ACIER,2022,NEUF,HOMME,21215.0,70,40,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-16,1,POLOGNE
3,ROLEX,DATEJUST_II,AUTOMATIQUE,ACIER,ACIER,2016,NEUF,HOMME,10437.0,48,41,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,1,GRANDE-BRETAGNE
5,PANERAI,LUMINOR_MARINA,AUTOMATIQUE,ACIER,CUIR,2023,NEUF,HOMME,7300.0,72,36,3.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,0,ALLEMAGNE
7,AUDEMARS_PIGUET,ROYAL_OAK,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME,39900.0,40,38,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-16,0,FRANCE
8,ROLEX,GMT-MASTER_II,AUTOMATIQUE,ACIER,ACIER,1994,NEUF,HOMME,13250.0,48,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,2,FRANCE
9,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME,8690.0,70,41,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-16,0,FRANCE
10,CARTIER,TANK_LOUIS,MANUEL,OR_JAUNE,INCONNUE,1970,NEUF,HOMME,7000.0,38,24,0.0,INDETERMINE,MINÉRAL,PLIS,OR_JAUNE,2024-04-16,0,FRANCE
12,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,HOMME,28800.0,72,40,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-16,1,BELGIQUE
13,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME,7600.0,42,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,1,FRANCE
14,OMEGA,SPEEDMASTER,MANUEL,ACIER,TEXTILE,2021,NEUF,HOMME,15950.0,50,42,5.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,2024-04-16,0,FRANCE
15,ROLEX,GMT-MASTER_II,AUTOMATIQUE,ACIER,ACIER,2004,NEUF,HOMME,13200.0,48,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,2,FRANCE
16,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,HOMME,4350.0,70,41,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-16,0,FRANCE
